org_uuid,org_name,type,parent_uuid,parent_name
7d4f8bf9-8f49-3961-381c-c071cceadb22,MTV,organization,4522b60d-0b04-827e-2b6c-6eaf236cf636,VIACOM PARAMOUNT on contract at CBS PARAMOUNT+
6d95cf4d-9230-9072-680e-2702d224aebb,ShowClix,organization,3165094e-dafd-5e66-fbaf-9f1d5ad44864,Leap Event Technology
c2ab272a-0f61-11d1-0be4-5ccd43e7011e,AdEngage,organization,636f4620-4d8d-fefb-23a5-3b7b44cedae3,Redirect.com
51b78c11-37c8-3ae8-94f2-ca743a3056bb,Jaduka,organization,5013da3e-e74d-099e-755e-5fcb63894383,NetworkIP
1014883c-6297-6921-10a9-af2cb13c9206,Sonus Networks,organization,51c665ce-10ce-4bc8-9394-87caa2e6c447,Ribbon Communications
c83121ff-a364-8a32-3e25-48d348a2af3a,ContentNext Media,organization,3d647490-e4dd-a58f-401b-86893b3c04e0,Gigaom
c0dcd187-dae1-d2a1-0fb8-aab7bb50ae03,Dice,organization,44113048-1d0b-e4d3-d44d-50e8dd49243e,DHI Group
18d3fd0c-1f72-f74d-b191-3027ef5e732b,CJReport,organization,c2c33026-c90f-18da-2f11-7fdb0fd569b8,Boot Ventures
1324b8a9-342a-4c30-340d-222bc6e0cef7,CLEAR,organization,868d0c54-1f18-d5bc-d48f-6b7b09f71cf1,Alclear LLC
8644a6f9-b3e2-165f-5f44-f13bc03e7be4,Proflowers,organization,148d24a5-c367-925e-8b99-3671d280f9bf,Qurate Retail
ad933125-9b18-016c-53de-ef099b71d1f3,TPG Growth,organization,7a2512ce-16cb-75ac-2f6b-84ff53b41d03,TPG
8c725124-83b2-cd3f-9af3-4117ac81f75b,Business Insider,organization,427116a5-bba9-9e28-dbc8-2330f2a5ffad,US Business Funding
f5e7370f-0a20-206e-df93-2125cfcc51b2,Glasses Direct,organization,795d9d78-8e66-6eac-2a13-95a23ec92ce5,MyOptique Group
63b4712e-2c89-6365-ae12-b5e6fbb38587,Students Know,organization,4efb1bfc-b70d-5d1b-e711-ca4b7e975cbf,icanmakeitbetter
64ae5140-a734-3a1a-d0bb-5b2e5dd6599b,Livestrong,organization,7501994d-dc2c-f877-3482-e0fb41e21807,Leaf Group
420afb30-906a-3282-8b9c-8c4f87240d5c,GE Capital,organization,1f2d7988-b461-f905-b8ab-c9a773063bd7,General Electric
53f0ebd6-be40-7ef3-f324-3651a5b71cf1,PaintPoker,organization,d9c5f7c9-0b23-45d6-2fcc-79722895a73f,DeviantArt
